Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
Juglans cinerea,"Butternut - White Walnut, Butternut",Tree,25.0,3-7,M,LMH,N,M,3,3,3
Waldsteinia fragarioides,Appalachian barren strawberry,Perennial,0.2,4-7,F,LMH,FSN,DM,0,2,3
Waldsteinia ternata,Barren Strawberry,Perennial,0.2,4-8,F,LMH,SN,M,0,0,3
Warburgia salutaris,Pepperbark Tree,Tree,8.0,10-12,S,LM,N,M,2,4,3
Wasabia japonica,"Japanese Horseradish, Wasabi",Perennial,0.3,7-10, ,LMH,SN,WeWa,4,1, 
Washingtonia filifera,"Desert Fan Palm, California fan palm, California Washingtonia Palm, Petticoat Palm, Desert Fan Pal",Tree,12.0,9-11,M,LMH,N,DM,2,0, 
Weigela coraeensis, ,Shrub,5.0,5-9, ,LMH,SN,M,1,0, 
Weigela decora, ,Shrub,5.0,5-9, ,LMH,SN,M,1,0, 
Weigela floribunda,Crimson weigela,Shrub,2.5,5-9, ,LMH,SN,M,1,0, 
Weigela florida,"Oldfashioned weigela, Rose Weigela, Old Fashioned Weigela",Shrub,3.0,4-8,M,LMH,SN,M,0,0, 
Weigela hortensis, ,Shrub,5.0,6-9, ,LMH,SN,M,1,0, 
Weigela japonica, ,Shrub,5.0,5-9, ,LMH,SN,M,0,1, 
Weinmannia racemosa,Kamahi,Tree,25.0,8-11, ,LM,SN,M,2,0, 
Wikstroemia japonica, ,Shrub,0.0,-, ,LMH,SN,M,0,0, 
Wikstroemia sikokiana, ,Shrub,2.0,8-11, ,LMH,SN,M,0,0, 
Willughbeia coriacea,"Heaven fruit, Borneo rubber, Akar gerit-gerit besi",Climber,30.0,10-12,F,LMH,SN,MWe,2,1,3
Willughbeia edulis,"Gedraphol, Kuy",Climber,25.0,10-12,F,LMH,SN,M,3,2,2
Wissadula periplocifolia,White velvetleaf,Perennial,1.0,10-12,F,LMH,N,DM,0,0,3
Wisteria floribunda,Japanese Wisteria,Climber,8.0,5-9,M,LMH,N,M,2,0,2
Wisteria frutescens,American Wisteria,Climber,12.0,4-8, ,LMH,N,M,1,0,3
Wisteria japonica, ,Climber,0.0,7-10, ,LMH,N,M,1,0, 
Wisteria sinensis,Chinese Wisteria,Climber,25.0,5-9,M,LMH,N,M,1,1,3
Wisteria venusta,Silky Wisteria,Climber,10.0,4-8, ,LMH,N,M,1,2, 
Wisteria villosa, ,Climber,0.0,-, ,LMH,N,M,1,0, 
Withania somnifera,"Ashwagandha - Indian Ginseng, Withania",Shrub,1.0,10-12, ,LMH,N,M,1,3,2
Wittsteinia vacciniacea,Baw-Baw Berry,Shrub,0.3,-, ,LMH,SN,M,1,0, 
Wolffia arrhiza,"Least Duckweed, Spotless watermeal",Perennial,0.0,6-9, ,LMH,N,Wa,4,0, 
Wolffia globosa,Khai Nam,Perennial,0.0,10-12,F, ,N,WeWa,4,0,0
Woodfordia fruticosa,Fire-flame bush,Shrub,5.0,10-12,M,LMH,N,M,2,2,4
Woodwardia areolata,Netted chain fern,Fern,0.3,4-9,M,LMH,S,MWe,0,0,3
Woodwardia radicans,"Chain Fern, Rooting chainfern",Fern,1.8,8-11, ,LMH,S,MWe,0,1, 
Woodwardia virginica,Virginia Chain Fern,Fern,0.4,3-10,M,LMH,S,MWe,0,0,3
Wyethia amplexicaulis,"Mulesears Wyethia, Mule-ears",Perennial,0.8,4-8, ,LM,N,M,3,1, 
Wyethia angustifolia,California Compass Plant,Perennial,1.0,8-11, ,LM,N,M,2,1, 
Wyethia helianthoides,"Sunflower Wyethia, Sunflower mule-ears",Perennial,0.0,0-0, ,LM,N,M,3,0, 
Wyethia longicaulis,Humboldt Mulesears,Perennial,0.5,-, ,LM,N,M,3,1, 
Wyethia mollis,"Woolly Wyethia, Woolly mule-ears",Perennial,1.0,7-10, ,LM,N,M,4,1, 
Wyethia robusta, ,Perennial,0.6,-, ,LM,N,M,1,0, 
